NAME,DATE,CDSD,DSND,DSNW,EMNT,EMSD,EMSN,EMXP,EMXT,HDSD,PRCP,SNOW,TAVG,TMAX,TMIN
"lyon, MN US",2001,839,112,,-17,27,,,99,8224,,,46.8,56.6,37
"lyon, MN US",2002,1001,,11,-6,,15,2.45,99,6950,27.72,34.3,46.8,56.9,36.8
"lyon, MN US",2003,739,,11,-16,,11.8,2.8,98,7706,24.65,47,45.7,56.4,35
"lyon, MN US",2004,486,,6,-22,,2.5,2,96,7362,31.31,13.9,46.5,57,36
"lyon, MN US",2005,864,,16,-19,,6,2.08,97,6509,33.38,37.7,47.4,57.5,37.3
"lyon, MN US",2006,858,55,4,-13,8,4.6,1.34,100,6916,23.58,13.9,48.2,58.1,38.3
"lyon, MN US",2007,812,,12,-15,,7,3.27,99,7193,28,39.9,46.7,56.7,36.6
"lyon, MN US",2008,647,,22,-22,,4.2,1.53,94,7965,25.35,50.3,43.9,54.6,33.3
"lyon, MN US",2009,462,87,18,-27,15,7,1.87,97,8352,26.02,54.3,43.5,53.9,33
"lyon, MN US",2010,765,108,19,-28,26,6,3.61,96,7940,43.25,57.6,45.1,55.2,35
"lyon, MN US",2011,810,,,-20,,,1.4,100,8692,22.67,,44.6,55.4,33.8
"lyon, MN US",2012,1051,,,-13,,,2.78,98,6261,25.2,,49.6,60.7,38.4
"lyon, MN US",2013,822,135,16,-15,15,9,2.16,96,8460,24.49,61.7,43.3,52.9,33.7
"lyon, MN US",2014,639,108,16,-21,13,9.3,2.8,91,8727,23.06,45.9,43.2,53.1,33.3
"lyon, MN US",2015,874,50,9,-14,8,8,2.02,97,7600,24.86,31.1,48,58.2,37.8
"lyon, MN US",2016,883,84,12,-31,9,7,2.57,99,6839,31.04,36.2,48,58.2,37.8
"lyon, MN US",2017,756,48,6,-34,8,8,3.66,98,7065,26.69,23.5,46.7,57.2,36.2
"lyon, MN US",2018,1052,97,19,-25,10,10.3,4.71,101,8259,40.51,83.5,44.6,54.9,34.2
"lyon, MN US",2019,,,,,,,,,8553,,,,,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1980,666,,,-13,,,3.42,99,7810,19.26,,44.8,55.9,33.6
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1981,541,65,12,-24,12,10,1.82,98,7260,22.03,30.9,46.1,57.8,34.3
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1982,501,82,17,-28,17,12,2.51,98,8518,32.42,48.8,42.7,52.8,32.6
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1983,944,110,25,-31,19,10,2.34,97,7619,26.83,77.6,44.2,53.8,34.6
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1984,,96,13,,21,9.6,1.77,97,8411,32.37,50.9,,54.9,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1985,396,106,18,-25,15,14,2.6,101,,34.25,49.4,42,53.4,30.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1986,,73,11,,10,5,2.6,97,,37.85,27.5,,55.9,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1987,,32,5,,10,7.5,1.5,100,,21.67,24.1,,61.1,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1988,,79,16,,19,11,1.8,106,,17.6,44,,58,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1989,,59,19,,12,8,2.23,104,7828,18.65,45.7,,56.4,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1990,618,42,5,-23,8,8,3.63,103,,24.28,21.6,45.7,58.1,33.3
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1991,736,73,15,-13,11,8,2.65,98,7637,31.86,46.3,45.1,56.1,34
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1992,278,57,14,-16,6,4,,92,7808,,34.8,44,54.7,33.3
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1993,352,102,15,-26,10,7,3.95,92,8450,40.48,40.9,41.4,52,30.8
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1994,490,,20,-26,,9,2.74,97,8218,25.08,62.5,43.7,55.4,31.9
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1995,665,48,16,-15,10,7,1.62,103,7556,30.3,43.5,43.6,55,32.3
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1996,497,,18,-30,,9,4.3,98,8536,34.92,53.5,41,51.9,30
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1997,617,118,18,-16,27,4,2.8,95,8605,24.21,32.1,43.7,53.8,33.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1998,,,17,,,6,1.73,,7420,24.06,37,,,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",1999,720,64,13,-21,20,9,1.75,98,,20.72,35.5,47,58.2,35.8
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2000,591,85,,-20,27,,2.25,101,7007,26.66,,44.8,56.1,33.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2001,701,120,17,-20,32,10,3.77,98,8778,33.79,52,45.5,56.3,34.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2002,831,67,17,-5,10,8,2.26,97,7330,22.89,45.7,45.3,56.1,34.6
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2003,592,77,17,-16,15,8,1.84,97,8026,19.77,44.9,44.5,55.8,33.1
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2004,418,53,13,-20,24,4,2.1,97,7754,29.59,28,45.1,56.2,34.1
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2005,754,85,13,-18,13,10,3.21,97,7301,36.37,39.1,46.5,57.2,35.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2006,736,60,8,-13,11,8,4.26,97,7164,29.86,17.4,47,57.6,36.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2007,,63,16,,22,9,2.6,96,,27.25,35.9,,56.3,
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2008,547,,14,-21,,7,1.94,92,8403,23.37,45.7,42.9,53.7,32.2
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2009,431,101,16,-27,28,12,1.53,99,8351,22.97,56.5,43.2,53.8,32.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2010,729,111,18,-30,35,9,4.26,94,8007,37.33,59,45,55.3,34.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2011,794,,,-25,,,4.42,101,8606,25.56,,44.7,55.2,34.1
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2012,914,,,-15,,,2.29,98,6411,24.91,,48.8,60.5,37
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2013,711,,,-22,,,1.62,96,8572,23.26,,42.6,52.9,32.4
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2014,517,,,-25,,,3.12,90,8971,27.79,,42.2,52.8,31.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2015,628,61,10,-17,9,7.8,2.59,95,7906,30.77,35,46.6,57.5,35.7
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2016,688,95,11,-28,14,8.8,4.37,97,6890,37.81,44.3,47.5,57.5,37.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2017,561,70,10,-22,9,9,3.88,94,7056,30.11,29.3,46.3,56.6,36
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2018,808,137,19,-23,14,9.8,2.6,100,8462,38.5,80.7,42.9,52.3,33.5
"Redwood SOUTHWEST RESEARCH AND OUTREACH CENTER, MN US",2019,,,,,,,,,9073,,,,,
